a,b,x,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,mtot,fermi_en,band_en,tot_en,n_el,class
Ti2,SiP,Se6,3.16842,1.82929,11.36263,6.33684,3.65858,11.36439,0,0,10.32839,0,0,12.58705,4.05477,0.00072,13.03278,1.14166,1.97598,13.03278,4.30884,3.51117,13.03278,5.36781,5.48697,9.70015,8.40478,3.58358,9.70015,5.23791,1.90518,9.70015,0.756,0.754,0.015,0.014,-0.026,-0.021,-0.027,-0.016,-0.011,-0.015,1.42,-2.281276,-443.686515,-49.68164664,53,0
Ti2,SiP,Te6,3.3844,1.95398,12.37822,6.76881,3.90797,12.3843,0,0,11.2358,0,0,13.56059,4.24111,0.00246,14.18295,1.26598,2.18782,14.18295,4.64612,3.67168,14.18295,5.9121,5.85949,10.5367,8.88722,3.67413,10.5367,5.50708,2.19028,10.5367,0.705,0.713,0.011,0.023,-0.025,-0.019,-0.027,-0.021,-0.018,-0.02,1.321,-1.714894,-371.946735,-42.91030484,53,0
V2,Ge2,Se6,3.20536,1.85061,11.47562,6.41072,3.70123,11.47916,0,0,10.2887,0,0,12.66608,4.03689,0.00083,13.12273,1.18764,2.05539,13.12273,4.39157,3.49563,13.12273,5.57919,5.55102,9.83204,8.42844,3.49646,9.83204,5.22452,2.05622,9.83204,1.967,1.967,0.047,0.047,-0.044,-0.052,-0.044,-0.044,-0.052,-0.044,3.748,-2.951243,-441.576128,-46.39795093,54,1
V2,Ge2,Te6,3.45571,1.99516,11.94299,6.91144,3.99032,11.94826,0,0,10.70844,0,0,13.18281,4.33048,0.00251,13.70765,1.29266,2.23392,13.70765,4.74403,3.74905,13.70765,6.03668,5.98296,10.1836,9.07449,3.75155,10.1836,5.62313,2.23643,10.1836,2.091,2.091,0.049,0.049,-0.081,-0.079,-0.079,-0.081,-0.079,-0.079,3.803,-2.262241,-367.521348,-40.4412175,54,1
V2,GeP,Se6,3.17366,1.83232,11.46071,6.34734,3.66464,11.46064,0,0,10.28987,0,0,12.61614,4.12841,0.00031,13.15067,1.10973,1.92149,13.15067,4.28286,3.57516,13.15067,2.34938,-0.0004,9.82273,1.99862,3.46253,9.82273,5.17299,2.03483,9.82273,2.282,2.289,0.043,0.051,-0.029,-0.029,-0.028,-0.041,-0.039,-0.04,4.459,-2.579352,-457.413119,-47.36725445,55,1
V2,GeP,Te6,3.43819,1.98504,11.76464,6.87639,3.97009,11.76931,0,0,10.54298,0,0,12.97353,4.30852,0.0025,13.49585,1.2861,2.2226,13.49585,4.71997,3.73003,13.49585,6.00606,5.95262,10.02625,9.02848,3.73253,10.02625,5.59461,2.22509,10.02625,2.115,2.111,0.033,0.035,-0.069,-0.061,-0.067,-0.064,-0.054,-0.06,3.919,-2.063518,-377.418406,-41.41203488,55,1
V2,GeSi,Se6,3.17833,1.83501,11.30667,6.35667,3.67003,11.31045,0,0,10.14768,0,0,12.47407,4.10497,0.00094,12.95906,1.12667,1.94957,12.95906,4.30338,3.55454,12.95906,5.55171,5.50413,9.66769,8.34753,3.45008,9.66769,5.17077,2.05586,9.66769,1.978,1.979,0.044,0.032,-0.039,-0.048,-0.041,-0.05,-0.056,-0.052,3.747,-2.822292,-436.703457,-47.88552406,54,1
V2,GeSi,Te6,3.42099,1.97511,11.95724,6.84198,3.95022,11.96351,0,0,10.72727,0,0,13.13775,4.28696,0.00249,13.73175,1.27967,2.21147,13.73175,4.69635,3.71137,13.73175,5.97601,5.92284,10.2015,8.9833,3.71385,10.2015,5.56662,2.21396,10.2015,2.079,2.085,0.047,0.039,-0.079,-0.079,-0.077,-0.08,-0.077,-0.078,3.781,-2.07502,-360.36637,-41.46768101,54,1
V2,P2,Te6,3.40372,1.96514,11.53835,6.80746,3.93029,11.54268,0,0,10.39262,0,0,12.68841,4.26533,0.00248,13.24279,1.27321,2.20032,13.24279,4.67266,3.69264,13.24279,5.94586,5.89295,9.83824,8.93797,3.69511,9.83824,5.53853,2.20279,9.83824,2.17,2.17,0.043,0.043,-0.039,-0.035,-0.039,-0.039,-0.035,-0.039,4.2,-1.62605,-377.95743,-42.16016584,56,1
V2,P2,Se6,3.14669,1.81674,11.05621,6.29338,3.63349,11.06148,0,0,9.95311,0,0,12.16458,4.06284,0.00079,12.68143,1.11596,1.93131,12.68143,4.26128,3.51813,12.68143,5.37723,5.44944,9.43626,8.32411,3.51891,9.43626,5.17879,1.9321,9.43626,2.274,2.274,0.029,0.029,-0.038,-0.027,-0.033,-0.038,-0.027,-0.033,4.412,-1.980821,-458.686785,-47.93932498,56,1
V2,Si2,Se6,3.14093,1.81342,11.37273,6.28188,3.62684,11.37662,0,0,10.24933,0,0,12.50003,4.03809,0.00098,13.03727,1.12275,1.94269,13.03727,4.26199,3.4966,13.03727,5.38472,5.43928,9.71209,8.30007,3.49757,9.71209,5.16083,1.94367,9.71209,2.009,2.009,0.028,0.028,-0.052,-0.056,-0.051,-0.052,-0.056,-0.051,3.755,-2.716488,-433.381086,-49.42371504,54,1
V2,Si2,Te6,3.36331,1.94181,12.22923,6.72662,3.88362,12.23625,0,0,11.07109,0,0,13.3944,4.21468,0.00245,14.03712,1.25809,2.17419,14.03712,4.61717,3.64879,14.03712,5.87525,5.82298,10.42836,8.83184,3.65124,10.42836,5.47276,2.17663,10.42836,2.099,2.099,0.035,0.035,-0.081,-0.079,-0.079,-0.081,-0.079,-0.079,3.787,-2.022757,-359.737742,-42.63196338,54,1
V2,SiP,Se6,3.14589,1.81628,11.51131,6.29179,3.63256,11.51079,0,0,10.35385,0,0,12.58321,4.10547,0.00055,13.19093,1.09363,1.89313,13.19093,4.23858,3.55517,13.19093,2.23547,0.00075,9.86875,2.0288,3.51249,9.86875,5.17339,1.9356,9.86875,2.356,2.34,0.033,0.056,-0.032,-0.031,-0.03,-0.039,-0.039,-0.038,4.576,-2.448607,-453.848245,-49.02067584,55,1
V2,SiP,Te6,3.37314,1.94748,12.01912,6.74628,3.89497,12.02499,0,0,10.87134,0,0,13.17101,4.227,0.00245,13.76919,1.26177,2.18054,13.76919,4.63066,3.65946,13.76919,5.89242,5.84,10.22931,8.85765,3.66191,10.22931,5.48876,2.18299,10.22931,2.12,2.109,0.025,0.028,-0.075,-0.069,-0.074,-0.073,-0.064,-0.07,3.858,-1.815506,-370.186883,-42.58388269,55,1
Cr2,Ge2,Se6,3.18455,1.8386,11.46022,6.36911,3.67721,11.46366,0,0,10.27485,0,0,12.64903,3.98175,0.00069,13.1034,1.19428,2.06717,13.1034,4.37764,3.44795,13.1034,5.57191,5.51512,9.82047,8.35938,3.44864,9.82047,5.17602,2.06785,9.82047,3.051,3.051,0.048,0.048,-0.083,-0.068,-0.078,-0.083,-0.068,-0.078,5.74,-3.293012,-453.0814,-47.36357956,56,1
Cr2,Ge2,Te6,3.45884,1.99696,11.73311,6.9177,3.99393,11.7368,0,0,10.52024,0,0,12.94967,4.3316,0.0023,13.4666,1.29504,2.23848,13.4666,4.74991,3.75013,13.4666,6.04494,5.9886,10.00331,9.0815,3.75242,10.00331,5.62663,2.24077,10.00331,3.133,3.133,0.045,0.045,-0.098,-0.085,-0.094,-0.098,-0.085,-0.094,5.802,-2.261006,-378.802754,-41.76901443,56,1
Cr2,GeP,Se6,3.17526,1.83324,10.94288,6.35053,3.66648,10.94617,0,0,9.81102,0,0,12.1684,3.99257,0.00009,12.48357,1.17906,2.04201,12.48357,4.35416,3.45762,12.48357,2.36897,0.00063,9.3176,1.99132,3.44781,9.3176,5.16549,2.05127,9.3176,2.872,2.872,0.032,-0.032,-0.113,-0.106,-0.118,-0.076,-0.058,-0.072,5.199,-2.203379,-457.470428,-48.12599688,57,1
Cr2,GeP,Te6,3.43923,1.98564,11.48932,6.87847,3.97128,11.49277,0,0,10.30094,0,0,12.70915,4.30982,0.0025,13.18602,1.28649,2.22327,13.18602,4.72139,3.73116,13.18602,6.00788,5.95442,9.79607,9.0312,3.73366,9.79607,5.5963,2.22576,9.79607,2.98,2.979,0.025,-0.014,-0.101,-0.097,-0.109,-0.088,-0.072,-0.086,5.416,-1.621638,-384.68062,-42.56868487,57,1
Cr2,GeSi,Se6,3.1631,1.82622,11.26573,6.32621,3.65244,11.26911,0,0,10.10047,0,0,12.42171,4.06336,0.00102,12.89631,1.13231,1.95919,12.89631,4.29366,3.51846,12.89631,5.55363,5.47765,9.62607,8.29317,3.4089,9.62607,5.13182,2.07076,9.62607,3.057,3.056,0.041,0.033,-0.069,-0.057,-0.065,-0.093,-0.074,-0.087,5.741,-3.251253,-448.692635,-48.83209148,56,1
Cr2,GeSi,Te6,3.4329,1.98198,11.6632,6.8658,3.96397,11.6667,0,0,10.45683,0,0,12.84811,4.30188,0.0025,13.38558,1.28412,2.21917,13.38558,4.7127,3.72429,13.38558,5.99682,5.94346,9.94432,9.01457,3.72678,9.94432,5.586,2.22166,9.94432,3.109,3.109,0.043,0.037,-0.091,-0.079,-0.087,-0.096,-0.081,-0.091,5.774,-2.147584,-372.864539,-42.81502023,56,1
Cr2,P2,Se6,3.17349,1.83222,10.93538,6.34699,3.66444,10.93866,0,0,9.80555,0,0,12.06849,3.99752,0.00108,12.48676,1.17568,2.03417,12.48676,4.3473,3.46141,12.48676,5.52297,5.49557,9.38729,8.34481,3.46248,9.38729,5.17318,2.03525,9.38729,2.878,2.878,0.029,0.029,-0.043,-0.045,-0.046,-0.043,-0.045,-0.046,5.547,-2.176486,-472.726452,-48.50507409,58,1
Cr2,P2,Te6,3.42459,1.97719,11.40824,6.84918,3.95438,11.41167,0,0,10.28832,0,0,12.53159,4.29147,0.00249,13.09297,1.28102,2.2138,13.09297,4.70129,3.71528,13.09297,5.9823,5.92907,9.72694,8.99275,3.71776,9.72694,5.57248,2.21629,9.72694,2.966,2.966,0.017,0.017,-0.061,-0.062,-0.066,-0.061,-0.062,-0.066,5.588,-1.466724,-391.408064,-43.11067525,58,1
Cr2,Si2,Se6,3.11028,1.79572,11.0822,6.22057,3.59145,11.08512,0,0,9.93575,0,0,12.23157,3.8976,0.00226,12.71855,1.16344,2.01062,12.71855,4.26981,3.37429,12.71855,5.43325,5.3849,9.44878,8.1674,3.37655,9.44878,5.06104,2.01288,9.44878,3.011,3.011,0.033,0.033,-0.071,-0.057,-0.066,-0.071,-0.057,-0.066,5.7,-2.940472,-440.282611,-50.15476003,56,1
Cr2,Si2,Te6,3.41912,1.97403,11.13717,6.83826,3.94807,11.13734,0,0,9.98379,0,0,12.29072,4.34856,0.00011,12.86556,1.24495,2.15609,12.86556,4.66388,3.76591,12.86556,5.90882,5.92199,9.40895,9.01244,3.76602,9.40895,5.5935,2.15619,9.40895,3.138,3.138,0.03,0.03,-0.097,-0.08,-0.092,-0.097,-0.08,-0.092,5.798,-1.96242,-360.226913,-44.05928524,56,1
Cr2,SiP,Se6,3.15186,1.81973,11.18528,6.30373,3.63946,11.18863,0,0,10.27154,0,0,12.52199,3.91538,0.00071,12.76546,1.19479,2.06802,12.76546,4.34542,3.39046,12.76546,5.36218,5.45787,9.61678,8.34928,3.54564,9.61678,5.1997,1.91485,9.61678,2.89,2.888,0.026,-0.036,-0.132,-0.123,-0.138,-0.071,-0.054,-0.066,5.184,-2.300146,-461.673494,-49.7496398,57,1
Cr2,SiP,Te6,3.42078,1.97499,11.45598,6.84157,3.94998,11.45414,0,0,10.57307,0,0,12.84464,4.23478,-0.00051,13.15391,1.30295,2.25781,13.15391,4.72463,3.66768,13.15391,2.42494,0.00074,9.79153,2.20895,3.82454,9.79153,5.62845,2.09969,9.79153,2.985,2.986,0.025,-0.017,-0.119,-0.115,-0.127,-0.091,-0.074,-0.087,5.367,-1.602925,-381.403526,-43.84319182,57,1
Mn2,Ge2,Se6,3.18354,1.83802,11.64145,6.3671,3.67605,11.64029,0,0,10.43525,0,0,12.84649,3.97166,-0.00042,13.26744,1.19736,2.07472,13.26744,4.38163,3.43976,13.26744,2.39544,0.00042,10.0143,1.98619,3.43934,10.0143,5.16901,2.0743,10.0143,3.34,3.34,0.016,0.016,-0.062,-0.04,-0.057,-0.062,-0.04,-0.057,6.395,-2.633278,-471.815409,-45.35599095,58,1
Mn2,Ge2,Te6,3.46081,1.9981,11.83047,6.92162,3.9962,11.83449,0,0,10.60702,0,0,13.05795,4.33686,0.00252,13.57782,1.29456,2.23722,13.57782,4.75102,3.75457,13.57782,6.04557,5.99178,10.08714,9.08787,3.75708,10.08714,5.63141,2.23973,10.08714,3.459,3.459,0.012,0.012,-0.069,-0.054,-0.065,-0.069,-0.054,-0.065,6.568,-1.994579,-396.977075,-40.02238809,58,1
Mn2,GeP,Se6,3.18279,1.83758,11.54129,6.36559,3.67517,11.54128,0,0,10.37328,0,0,12.71556,4.1846,0.0002,13.28055,1.09067,1.88869,13.28055,4.27311,3.62387,13.28055,2.34011,0.00006,9.87222,2.01278,3.48613,9.87222,5.19547,2.02657,9.87222,3.981,3.983,0.045,0.025,0.034,0.024,0.029,-0.012,0.015,-0.001,8.124,-2.793981,-490.621128,-46.3043407,59,1
Mn2,GeP,Te6,3.43388,1.98255,11.76644,6.86778,3.96511,11.7708,0,0,10.54659,0,0,12.99957,4.30312,0.0025,13.50048,1.28449,2.21981,13.50048,4.71406,3.72536,13.50048,5.99854,5.94517,10.02968,9.01716,3.72785,10.02968,5.5876,2.2223,10.02968,3.537,3.536,0.028,0.002,-0.029,-0.028,-0.035,-0.032,-0.024,-0.032,6.923,-1.889898,-407.748131,-40.87297408,59,1
Mn2,GeSi,Se6,3.17478,1.83296,11.29712,6.34957,3.66593,11.30031,0,0,10.13757,0,0,12.48804,4.08474,0.0008,12.94877,1.13311,1.961,12.94877,4.30651,3.53709,12.94877,5.57037,5.49808,9.6578,8.32586,3.42464,9.6578,5.15246,2.07504,9.6578,3.64,3.64,0.035,0.024,-0.037,-0.007,-0.026,-0.06,-0.022,-0.049,7.137,-2.674849,-468.951879,-46.78835476,58,1
Mn2,GeSi,Te6,3.43036,1.98052,11.69742,6.86073,3.96105,11.70123,0,0,10.48965,0,0,12.91537,4.29871,0.0025,13.42758,1.28318,2.21753,13.42758,4.70922,3.72154,13.42758,5.99239,5.93907,9.97553,9.00792,3.72403,9.97553,5.58187,2.22002,9.97553,3.382,3.381,0.014,0.011,-0.064,-0.047,-0.061,-0.068,-0.052,-0.065,6.429,-1.806992,-388.804921,-41.051286,58,1
Mn2,P2,Se6,3.14391,1.81514,10.67057,6.28784,3.63029,10.67349,0,0,9.54608,0,0,11.79799,3.96788,0.00097,12.1595,1.16082,2.00866,12.1595,4.30306,3.4358,12.1595,5.46387,5.44446,9.18457,8.27094,3.43677,9.18457,5.12869,2.00962,9.18457,1.992,1.992,-0.005,-0.005,-0.03,-0.034,-0.034,-0.03,-0.034,-0.034,3.778,-2.047224,-477.842113,-46.52746385,60,1
Mn2,P2,Te6,3.37944,1.95112,12.08264,6.75889,3.90225,12.08805,0,0,10.94172,0,0,13.22897,4.2349,0.00246,13.86798,1.26413,2.18462,13.86798,4.63932,3.6663,13.86798,5.90344,5.85091,10.30271,8.87421,3.66875,10.30271,5.49902,2.18707,10.30271,3.66,3.66,0.006,0.006,-0.016,-0.016,-0.015,-0.016,-0.016,-0.015,7.237,-1.655551,-415.590333,-41.43969214,60,1
Mn2,Si2,Se6,3.15182,1.8197,11.36334,6.30364,3.63941,11.36561,0,0,10.23067,0,0,12.49827,4.06273,0.00053,13.02961,1.12092,1.94042,13.02961,4.27182,3.51816,13.02961,5.39272,5.45858,9.69934,8.33454,3.51869,9.69934,5.18364,1.94095,9.69934,3.766,3.766,0.025,0.025,-0.046,-0.009,-0.029,-0.046,-0.009,-0.029,7.415,-2.680794,-465.802433,-48.33177908,58,1
Mn2,Si2,Te6,3.37925,1.95101,11.90159,6.75851,3.90203,11.9065,0,0,10.73352,0,0,13.07457,4.23466,0.00246,13.65994,1.26406,2.1845,13.65994,4.63906,3.66609,13.65994,5.90311,5.85058,10.14815,8.87371,3.66855,10.14815,5.49871,2.18695,10.14815,3.401,3.401,0.009,0.009,-0.068,-0.038,-0.063,-0.068,-0.038,-0.063,6.483,-1.719733,-384.448445,-42.18531636,58,1
Mn2,SiP,Se6,3.16392,1.82669,11.49564,6.32785,3.65339,11.49508,0,0,10.34437,0,0,12.59955,4.16329,0.00017,13.23328,1.08243,1.87448,13.23328,4.24606,3.60543,13.23328,2.22387,0.00003,9.83372,2.05201,3.55413,9.83372,5.21588,1.92592,9.83372,4.018,4.019,0.032,0.026,0.034,0.022,0.026,-0.001,0.018,0.008,8.203,-2.713794,-489.27506,-47.97369794,59,1
Mn2,SiP,Te6,3.38663,1.95527,11.87558,6.77326,3.91055,11.88069,0,0,10.734,0,0,13.05738,4.2439,0.00246,13.62248,1.26682,2.18926,13.62248,4.64918,3.6741,13.62248,5.91599,5.86335,10.12032,8.89308,3.67655,10.12032,5.51071,2.19172,10.12032,3.526,3.527,0.022,0.005,-0.027,-0.024,-0.034,-0.028,-0.021,-0.028,6.917,-1.729134,-401.39168,-42.00122245,59,1
Fe2,Ge2,Se6,3.1497,1.81848,11.69342,6.29942,3.63697,11.69147,0,0,10.48149,0,0,12.90341,3.87417,-0.00028,13.18298,1.21238,2.10047,13.18298,4.36258,3.35527,13.18298,2.42525,0.00028,10.20191,1.93732,3.35498,10.20191,5.08654,2.10018,10.20191,1.115,1.115,0.002,0.002,-0.043,-0.023,-0.038,-0.043,-0.023,-0.038,2.025,-2.805465,-472.481999,-42.41858314,60,0
Fe2,Ge2,Te6,3.41348,1.97077,11.09858,6.82697,3.94156,11.10238,0,0,9.95083,0,0,12.25013,4.27756,0.00248,12.73784,1.27686,2.20662,12.73784,4.68605,3.70323,12.73784,5.9629,5.90985,9.46311,8.96359,3.70571,9.46311,5.55441,2.2091,9.46311,1.257,1.257,-0.007,-0.007,-0.065,-0.045,-0.061,-0.065,-0.045,-0.061,2.157,-1.772686,-375.840011,-37.09195583,60,0
Fe2,GeP,Se6,3.12276,1.80292,10.73784,6.24552,3.60585,10.74197,0,0,9.60168,0,0,11.93551,3.88911,-0.01852,12.17457,1.16216,2.04997,12.17457,4.31701,3.37733,12.17457,5.52586,5.39809,9.23815,8.15747,3.33297,9.23815,5.05322,2.08649,9.23815,1.25,-0.204,0.005,0.007,-0.015,-0.006,-0.01,-0.015,-0.009,-0.016,0.985,-2.443987,-470.668231,-43.52123517,61,0
Fe2,GeP,Te6,3.40727,1.96719,10.50456,6.81455,3.93438,10.49447,0,0,9.3808,0,0,11.7206,4.26977,0.00248,12.00817,1.27454,2.20261,12.00817,4.67752,3.69649,12.00817,5.95205,5.89909,8.92103,8.94729,3.69896,8.92103,5.5443,2.20508,8.92103,-0.342,1.414,0.004,0.006,-0.013,-0.011,-0.017,-0.018,-0.011,-0.017,0.995,-1.558987,-378.79942,-38.5110467,61,0
Fe2,GeSi,Se6,3.11789,1.80012,10.93239,6.2358,3.60024,10.92928,0,0,9.79237,0,0,12.11829,3.93606,0.00283,12.45443,1.15232,1.99022,12.45443,4.26532,3.40731,12.45443,2.4166,0.00108,9.4361,1.91053,3.30697,9.4361,5.02655,2.0923,9.4361,1.121,1.128,-0.002,0.002,-0.039,-0.019,-0.034,-0.05,-0.028,-0.045,2.035,-2.637192,-461.097515,-43.80071164,60,0
Fe2,GeSi,Te6,3.40701,1.96704,10.67823,6.81402,3.93408,10.68339,0,0,9.5828,0,0,11.94185,4.26944,0.00248,12.26675,1.27444,2.20244,12.26675,4.67716,3.6962,12.26675,5.95159,5.89863,9.11313,8.94659,3.69868,9.11313,5.54387,2.20491,9.11313,1.202,1.205,-0.002,-0.004,-0.054,-0.034,-0.049,-0.058,-0.038,-0.054,2.114,-1.730164,-369.295567,-38.373949,60,0
Fe2,P2,Se6,3.08313,1.78004,10.4294,6.16626,3.56009,10.43263,0,0,9.34467,0,0,11.51736,3.85864,0.00057,11.87707,1.15431,1.99818,11.87707,4.23645,3.34139,11.87707,5.39075,5.33956,8.98496,8.09508,3.34196,8.98496,5.01294,1.99875,8.98496,0,0,0,0,0,0,0,0,0,0,0,-2.174508,-474.801978,-44.40215761,62,0
Fe2,P2,Te6,3.35523,1.93714,10.34359,6.71047,3.87429,10.3481,0,0,9.27435,0,0,11.41735,4.20456,0.00244,11.8719,1.25507,2.16897,11.8719,4.60608,3.64004,11.8719,5.86115,5.809,8.81979,8.81063,3.64247,8.81979,5.45962,2.1714,8.81979,0,0,0,0,0,0,0,0,0,0,0,-1.378004,-382.262049,-39.62855867,62,0
Fe2,Si2,Se6,3.09087,1.78451,10.78785,6.18174,3.56903,10.79042,0,0,9.66108,0,0,11.91719,3.88073,0.00078,12.30387,1.15118,1.99235,12.30387,4.24071,3.36042,12.30387,5.39188,5.35277,9.2744,8.12143,3.36119,9.2744,5.0319,1.99312,9.2744,1.124,1.124,0,0,-0.044,-0.022,-0.039,-0.044,-0.022,-0.039,2.038,-2.462158,-453.340927,-45.21891635,60,0
Fe2,Si2,Te6,3.37613,1.94921,10.7129,6.75227,3.89842,10.71802,0,0,9.5686,0,0,11.86231,4.23075,0.00246,12.29603,1.26289,2.18248,12.29603,4.63477,3.66271,12.29603,5.89765,5.84518,9.13489,8.86551,3.66516,9.13489,5.49363,2.18493,9.13489,1.193,1.193,-0.003,-0.003,-0.053,-0.034,-0.049,-0.053,-0.034,-0.049,2.107,-1.66126,-365.915497,-39.57002201,60,0
Fe2,SiP,Se6,3.09935,1.78941,10.54553,6.19871,3.57883,10.55926,0,0,9.52772,0,0,11.74308,3.83204,-0.02023,11.9755,1.16582,2.05972,11.9755,4.30022,3.32876,11.9755,5.36913,5.35311,9.04908,8.15007,3.41011,9.04908,5.07691,1.97325,9.04908,1.221,-0.156,0.003,0.005,-0.02,-0.01,-0.015,-0.013,-0.007,-0.013,0.994,-2.339456,-462.895327,-45.06095663,61,0
Fe2,SiP,Te6,3.36249,1.94133,10.55608,6.72498,3.88267,10.56456,0,0,9.42259,0,0,11.66241,4.21365,0.00245,12.07706,1.25779,2.17366,12.07706,4.61604,3.6479,12.07706,5.87382,5.82155,8.97221,8.82968,3.65034,8.97221,5.47142,2.1761,8.97221,0.648,0.557,0,-0.011,-0.025,-0.018,-0.023,-0.023,-0.016,-0.022,1.067,-1.489106,-372.291797,-39.75671246,61,0
Co2,Ge2,Se6,3.11426,1.79802,11.54446,6.22852,3.59604,11.54424,0,0,10.34873,0,0,12.73998,3.79807,-0.00008,13.04558,1.21516,2.10487,13.04558,4.32956,3.28927,13.04558,2.43045,0.00008,10.04313,1.8991,3.28918,10.04313,5.01322,2.10479,10.04313,0,0,0,0,0,0,0,0,0,0,0,-3.158349,-483.374457,-40.38060945,62,0
